Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04,Colour_p4_05,Colour_p4_06,Colour_p4_07,Colour_p4_08,Colour_p4_09,Colour_p4_10
0.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.160,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
1.170,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
1.180,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,
1.190,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
1.200,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,
1.210,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.220,1.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.230,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.240,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.250,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.260,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.270,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.280,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.290,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.300,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.310,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.320,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.330,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.340,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.350,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.360,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.370,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.380,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.390,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.400,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.410,1.000,1.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.420,1.000,1.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,
1.430,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.440,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.450,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.460,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.470,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.480,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.490,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.500,1.000,1.000,2.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.510,1.000,1.000,2.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.520,1.000,1.000,2.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,
1.530,1.000,1.000,2.000,1.000,2.000,0.000,1.000,1.000,1.000,1.000,
1.540,1.000,1.000,2.000,1.000,2.000,0.000,1.000,1.000,1.000,1.000,
1.550,2.000,1.000,2.000,1.000,2.000,0.000,1.000,1.000,1.000,1.000,
1.560,2.000,1.000,2.000,1.000,2.000,0.000,1.000,1.000,1.000,1.000,
1.570,2.000,1.000,2.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,
1.580,2.000,1.000,4.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,
1.590,2.000,4.000,4.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,
1.600,2.000,4.000,6.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,
1.610,2.000,6.000,6.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,
1.620,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,1.000,1.000,
1.630,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,1.000,4.000,
1.640,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,1.000,4.000,
1.650,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,1.000,4.000,
1.660,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,2.000,4.000,
1.670,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,2.000,4.000,
1.680,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,2.000,4.000,
1.690,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,2.000,4.000,
1.700,6.000,6.000,6.000,1.000,6.000,0.000,1.000,2.000,2.000,4.000,
1.710,6.000,6.000,6.000,1.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.720,6.000,6.000,6.000,1.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.730,6.000,6.000,6.000,1.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.740,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.750,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.760,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.770,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.780,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,2.000,4.000,
1.790,6.000,6.000,6.000,2.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.800,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.810,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.820,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.830,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.840,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,4.000,
1.850,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,6.000,
1.860,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,6.000,
1.870,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,6.000,
1.880,6.000,6.000,6.000,6.000,6.000,0.000,1.000,6.000,6.000,6.000,
1.890,6.000,6.000,6.000,6.000,6.000,0.000,2.000,6.000,6.000,6.000,
1.900,6.000,6.000,6.000,6.000,6.000,0.000,2.000,6.000,6.000,6.000,
1.910,6.000,6.000,6.000,6.000,6.000,0.000,2.000,6.000,6.000,6.000,
1.920,6.000,6.000,6.000,6.000,6.000,0.000,2.000,6.000,6.000,6.000,
1.930,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.940,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.950,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.960,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.970,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.980,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
1.990,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.000,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.010,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.020,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.030,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.040,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.050,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.060,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.070,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.080,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.090,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.100,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.110,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.120,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.130,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.140,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.150,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.160,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.170,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.180,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.190,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.200,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.210,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.220,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.230,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.240,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.250,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.260,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.270,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.280,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.290,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.300,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.310,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.320,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.330,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.340,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.350,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.360,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.370,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.380,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.390,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.400,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.410,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.420,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.430,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.440,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.450,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.460,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.470,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.480,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.490,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.500,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.510,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.520,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.530,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.540,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.550,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.560,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.570,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.580,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.590,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.600,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.610,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.620,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.630,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.640,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.650,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.660,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.670,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.680,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.690,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.700,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.710,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.720,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.730,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.740,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.750,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.760,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.770,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.780,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.790,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.800,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.810,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.820,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.830,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.840,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.850,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.860,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.870,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.880,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.890,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.900,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.910,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.920,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.930,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.940,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.950,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.960,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.970,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.980,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
2.990,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.000,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.010,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.020,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.030,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.040,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
3.050,6.000,6.000,6.000,6.000,6.000,0.000,6.000,6.000,6.000,6.000,
